"Date","Total Returns Index"
"02-Apr-2019","15107.25"
"03-Apr-2019","15022.29"
"04-Apr-2019","14969.92"
"05-Apr-2019","15055.04"
"08-Apr-2019","14978.62"
"09-Apr-2019","15062.11"
"10-Apr-2019","14957.97"
"11-Apr-2019","14978.47"
"12-Apr-2019","15039.4"
"15-Apr-2019","15101.34"
"16-Apr-2019","15220.52"
"18-Apr-2019","15173.79"
"22-Apr-2019","14960.53"
"23-Apr-2019","14937.3"
"24-Apr-2019","15118.04"
"25-Apr-2019","15013.35"
"26-Apr-2019","15139.95"
"30-Apr-2019","15124.04"
"02-May-2019","15087.56"
"03-May-2019","15065.25"
"06-May-2019","14913.43"
"07-May-2019","14790.31"
"08-May-2019","14612.89"
"09-May-2019","14542.94"
"10-May-2019","14512.48"
"13-May-2019","14331.59"
"14-May-2019","14418.41"
"15-May-2019","14336.71"
"16-May-2019","14448.78"
"17-May-2019","14632.59"
"20-May-2019","15165.23"
"21-May-2019","15015.32"
"22-May-2019","15060.91"
"23-May-2019","14977.02"
"24-May-2019","15230.96"
"27-May-2019","15331.81"
"28-May-2019","15344.55"
"29-May-2019","15254.34"
"30-May-2019","15351.1"
"31-May-2019","15338.44"
"03-Jun-2019","15546.82"
"04-Jun-2019","15465.33"
"06-Jun-2019","15225.3"
"07-Jun-2019","15256.07"
"10-Jun-2019","15319.59"
"11-Jun-2019","15379.28"
"12-Jun-2019","15297.08"
"13-Jun-2019","15316.81"
"14-Jun-2019","15194.45"
"17-Jun-2019","14994.81"
"18-Jun-2019","15018.6"
"19-Jun-2019","15008.05"
"20-Jun-2019","15208.86"
"21-Jun-2019","15082.73"
"24-Jun-2019","15057.78"
"25-Jun-2019","15171.45"
"26-Jun-2019","15244.27"
"27-Jun-2019","15247.48"
"28-Jun-2019","15184.51"
"01-Jul-2019","15280.9"
"02-Jul-2019","15337.23"
"03-Jul-2019","15354.59"
"04-Jul-2019","15395.8"
"05-Jul-2019","15215.93"
"08-Jul-2019","14892.8"
"09-Jul-2019","14899.99"
"10-Jul-2019","14820.95"
"11-Jul-2019","14932.4"
"12-Jul-2019","14902.35"
"15-Jul-2019","14951.94"
"16-Jul-2019","15057.48"
"17-Jul-2019","15089.82"
"18-Jul-2019","14969.17"
"19-Jul-2019","14745.06"
"22-Jul-2019","14666.56"
"23-Jul-2019","14642.56"
"24-Jul-2019","14551.36"
"25-Jul-2019","14544.04"
"26-Jul-2019","14598.32"
"29-Jul-2019","14466.53"
"30-Jul-2019","14323.88"
"31-Jul-2019","14377.76"
"01-Aug-2019","14201.5"
"02-Aug-2019","14232.69"
"05-Aug-2019","14065.52"
"06-Aug-2019","14179.43"
"07-Aug-2019","14066.42"
"08-Aug-2019","14292.03"
"09-Aug-2019","14392.15"
"13-Aug-2019","14145.4"
"14-Aug-2019","14286.35"
"16-Aug-2019","14313.04"
"19-Aug-2019","14322.84"
"20-Aug-2019","14268.07"
"21-Aug-2019","14137.54"
"22-Aug-2019","13915.31"
"23-Aug-2019","14029.63"
"26-Aug-2019","14320.78"
"27-Aug-2019","14399.21"
"28-Aug-2019","14323.22"
"29-Aug-2019","14213.79"
"30-Aug-2019","14323.94"
"03-Sep-2019","14028.73"
"04-Sep-2019","14078.94"
"05-Sep-2019","14092.65"
"06-Sep-2019","14212.28"
"09-Sep-2019","14282.67"
"11-Sep-2019","14332.77"
"12-Sep-2019","14271.4"
"13-Sep-2019","14389.02"
"16-Sep-2019","14305.22"
"17-Sep-2019","14063.47"
"18-Sep-2019","14101"
"19-Sep-2019","13931.55"
"20-Sep-2019","14680.42"
"23-Sep-2019","15083.93"
"24-Sep-2019","15072.63"
"25-Sep-2019","14872.52"
"26-Sep-2019","15043.62"
"27-Sep-2019","14977.7"
"30-Sep-2019","14913.21"
"01-Oct-2019","14764.5"
"03-Oct-2019","14696.82"
"04-Oct-2019","14515.28"
"07-Oct-2019","14432.62"
"09-Oct-2019","14669.66"
"10-Oct-2019","14568.68"
"11-Oct-2019","14655.93"
"14-Oct-2019","14710.86"
"15-Oct-2019","14824.81"
"16-Oct-2019","14881.57"
"17-Oct-2019","15061.06"
"18-Oct-2019","15173.94"
"22-Oct-2019","15101.58"
"23-Oct-2019","15127.91"
"24-Oct-2019","15096.78"
"25-Oct-2019","15091.73"
"27-Oct-2019","15153.7"
"29-Oct-2019","15358.89"
"30-Oct-2019","15437.61"
"31-Oct-2019","15482.23"
"01-Nov-2019","15495.85"
"04-Nov-2019","15549.38"
"05-Nov-2019","15507.39"
"06-Nov-2019","15569.18"
"07-Nov-2019","15633.23"
"08-Nov-2019","15494.22"
"11-Nov-2019","15505.07"
"13-Nov-2019","15411.82"
"14-Nov-2019","15438.34"
"15-Nov-2019","15466.28"
"18-Nov-2019","15451.57"
"19-Nov-2019","15508.06"
"20-Nov-2019","15587.16"
"21-Nov-2019","15544.24"
"22-Nov-2019","15477.99"
"25-Nov-2019","15685.72"
"26-Nov-2019","15631.72"
"27-Nov-2019","15717.66"
"28-Nov-2019","15796.11"
"29-Nov-2019","15672.75"
"02-Dec-2019","15663.21"
"03-Dec-2019","15586.84"
"04-Dec-2019","15644.77"
"05-Dec-2019","15600.62"
"06-Dec-2019","15469.99"
"09-Dec-2019","15480.73"
"10-Dec-2019","15368.68"
"11-Dec-2019","15438.35"
"12-Dec-2019","15523.09"
"13-Dec-2019","15673.46"
"16-Dec-2019","15624.76"
"17-Dec-2019","15758.66"
"18-Dec-2019","15829.82"
"19-Dec-2019","15881.39"
"20-Dec-2019","15906.57"
"23-Dec-2019","15895.71"
"24-Dec-2019","15840.58"
"26-Dec-2019","15733.87"
"27-Dec-2019","15882.39"
"30-Dec-2019","15894.81"
"31-Dec-2019","15783.49"
"01-Jan-2020","15798.06"
"02-Jan-2020","15928.56"
"03-Jan-2020","15861.81"
"06-Jan-2020","15555.57"
"07-Jan-2020","15638.38"
"08-Jan-2020","15608.16"
"09-Jan-2020","15850.33"
"10-Jan-2020","15901.83"
"13-Jan-2020","16000.53"
"14-Jan-2020","16041.85"
"15-Jan-2020","16029.38"
"16-Jan-2020","16044.49"
"17-Jan-2020","16045.21"
"20-Jan-2020","15880.58"
"21-Jan-2020","15808.61"
"22-Jan-2020","15736"
"23-Jan-2020","15843"
"24-Jan-2020","15939.33"
"27-Jan-2020","15779.34"
"28-Jan-2020","15702.85"
"29-Jan-2020","15797.77"
"30-Jan-2020","15654.2"
"31-Jan-2020","15553.18"
"01-Feb-2020","15143.99"
"03-Feb-2020","15210.34"
"04-Feb-2020","15558.68"
"05-Feb-2020","15714.53"
"06-Feb-2020","15794.42"
"07-Feb-2020","15762.93"
"10-Feb-2020","15680.72"
"11-Feb-2020","15759"
"12-Feb-2020","15864.1"
"13-Feb-2020","15831.22"
"14-Feb-2020","15739.47"
"17-Feb-2020","15642.61"
"18-Feb-2020","15575.61"
"19-Feb-2020","15767.82"
"20-Feb-2020","15720.3"
"24-Feb-2020","15393.3"
"25-Feb-2020","15342.75"
"26-Feb-2020","15179.01"
"27-Feb-2020","15123.35"
"28-Feb-2020","14569"
"02-Mar-2020","14487.44"
"03-Mar-2020","14724.78"
"04-Mar-2020","14650.05"
"05-Mar-2020","14684.25"
"06-Mar-2020","14325.8"
"09-Mar-2020","13634.45"
"11-Mar-2020","13627.97"
"12-Mar-2020","12489.5"
"13-Mar-2020","12948.87"
"16-Mar-2020","12008.91"
"17-Mar-2020","11736.26"
"18-Mar-2020","11095.08"
"19-Mar-2020","10817.09"
"20-Mar-2020","11414.55"
"23-Mar-2020","9960.42"
"24-Mar-2020","10193.86"
"25-Mar-2020","10827.34"
"26-Mar-2020","11272.09"
"27-Mar-2020","11291.67"
"30-Mar-2020","10850.5"
"31-Mar-2020","11271.15"
